Date,GIV00907136,GIV00907156,GIV00907176,GIV00907196,GIV00907216,GIV00907236,GIV00907276,GIV00907296,GIV00907316,GIV00907336,GIV00907356,GIV00907376,GIV00907396,GIV00907416,GIV00907436,GIV00907456,GIV00907476,GIV00907496,GIV00907516,GIV00907536,GIV00907556,GIV00907576,GIV00907596
05/10/2017,18.77214436,19.18860559,19.53501822,20.98300385,23.03247837,24.99741251,34.06496996,43.56024126,51.77588346,57.58345277,61.34504825,63.84909657,65.67529047,66.57181938,66.48508165,65.65916549,65.25912323,64.15497826,60.08956604,57.42256068,54.00186414,51.32972489,49.6790102
05/09/2017,18.75813636,19.18860559,19.52361437,20.96048678,23.01045906,24.97509683,34.03860617,43.48346998,51.77588346,57.58345277,61.33652529,63.84336507,65.67079562,66.56858566,66.48508165,65.66022143,65.26025676,64.15497826,60.09362626,57.42457693,54.00260398,51.33021039,49.6790102
05/06/2017,18.71604659,19.13000927,19.51220062,20.91543881,22.9443645,24.95277456,33.98586171,43.40668647,51.67343634,57.53192631,61.31094906,63.83190063,65.65730825,66.56534818,66.49059956,65.66127715,65.26252323,64.16635269,60.097686,57.43062555,54.00408365,51.33069588,49.67849181
05/05/2017,18.71604659,19.11826065,19.47789996,20.91543881,22.9443645,24.88576837,33.98586171,43.38108926,51.65294186,57.51904108,61.3024212,63.83190063,65.65730825,66.56426819,66.49170225,65.66444289,65.26252323,64.16862722,60.09903913,57.43062555,54.00408365,51.33215235,49.67836221
05/04/2017,18.71604659,19.10502271,20.84783252,20.84783252,22.9443645,24.86341987,33.90670299,43.38108926,51.63244571,57.50615439,61.29389212,63.81470037,65.65730825,66.56426819,66.49280464,65.66549768,65.26592147,64.17090164,60.09903913,57.43062555,54.00630313,51.33263783,49.67823262
05/03/2017,18.67385839,19.10502271,19.45498337,20.82528801,22.87821533,24.84106485,33.88030558,43.38108926,51.63244571,57.49326625,61.2853618,63.80896599,65.64381668,66.56426819,66.49280464,65.66655223,65.26705384,64.17090164,60.09903913,57.43667399,54.00704294,51.33312331,49.67810302
05/02/2017,15.13308826,14.99742001,15.63620588,17.83932873,19.14174812,20.16961336,28.22868029,37.97896216,47.29240067,54.75453303,59.46597517,62.59409031,64.68889375,66.32800945,66.71753046,65.88269457,65.50038797,64.64583491,60.38193667,57.859599,54.16229993,51.43500127,49.65088758
29/04/2017,18.61745486,19.03620045,19.39751885,20.75762751,22.78993211,24.79633527,33.80107991,43.22747768,51.52993973,57.44169919,61.25122828,63.79175997,65.62582141,66.55777944,66.4983121,65.66866064,65.27044976,64.18227194,60.10715679,57.44473828,54.00926236,51.33409425,49.67758463
28/04/2017,18.61745486,19.02240254,19.38599631,20.68992693,22.78993211,24.72919222,33.80107991,43.20187105,51.50943351,57.4288038,61.24269182,63.79175997,65.62582141,66.55669652,66.4994127,65.6718215,65.27044976,64.18454565,60.10850954,57.44473828,54.00926236,51.33555065,49.67745503
27/04/2017,18.57503813,19.0085935,19.3744639,20.66735125,22.72365696,24.70679828,33.72180429,43.20187105,51.48892561,57.41590696,61.23415414,63.77454964,65.62582141,66.55669652,66.500513,65.67287466,65.27384393,64.18681924,60.10850954,57.44473828,54.01148173,51.33603611,49.67732543
